1,2,3,4,5
1.1748245,0.6819276,1.0150975,1.122466,1.0963064
0.8067276,1.0297525,1.012858,1.525924,1.1520287
1.1846787,1.1667149,1.1199304,1.129999,1.4255272
0.8737542,1.1498829,1.3867607,1.0706421,1.1131369
1.130212,1.0386676,0.9701716,0.947601,1.0736859
0.89224184,1.0642759,0.8720238,1.3632884,1.3014051
1.7001107,1.0476252,1.0033071,1.3961767,1.3097286
0.9154312,0.99340993,1.0906819,1.0200868,1.2000684
0.8381726,0.80535734,0.90115887,1.2077057,1.0008082
1.0542891,1.2829442,0.9502859,1.2256956,1.2299789
0.5024448,0.72620255,0.8486941,0.85526294,0.972964
0.792889,0.9397733,0.884308,1.2866999,1.2328525
1.1850377,1.0653758,0.84214276,1.4173934,1.070053
0.8097011,0.8539641,0.80459976,1.2639484,0.97113836
0.91389513,1.1620535,1.1158277,1.3217387,1.0782481
0.94765943,1.2003837,1.1941205,1.138778,1.027769
0.9566782,1.0705711,0.9297079,1.2127748,0.93936867
1.1156327,1.1428118,0.99725765,0.8438917,1.0294875
0.9038823,0.8680592,0.8415722,1.1453123,1.054213
0.8158842,1.188263,1.1411252,1.1514373,0.99706686
0.8157535,0.98701,0.8500233,1.0767314,1.0331525
0.8161068,0.82771695,0.76470155,0.8306069,1.0350975
0.87249887,1.1968497,1.144472,1.070723,1.2823608
0.6591743,0.6192708,0.86598366,1.0210575,1.0083778
0.59434676,0.9110714,1.0311431,1.1263484,1.305507
0.8434302,0.8144162,1.161782,1.1875205,1.1280327
0.86245024,0.84454584,0.92087287,0.87147915,0.7214857
1.1855466,1.0082002,1.3284588,1.1284002,1.4734421
0.8616562,0.6867285,0.61348987,0.8333111,0.81474286
0.79681623,1.0488969,0.9212715,0.84334177,1.0312896
1.4079009,1.2191882,1.0075998,1.0282937,0.85203993
0.6192933,0.9958853,1.080467,1.2108043,1.2444581
0.78375643,0.6909523,1.1257546,1.0417155,1.1246002
1.539471,0.956713,1.0401547,1.6342689,1.3617153
1.093201,0.9286665,0.9655336,0.9499494,0.86873364
1.1077077,0.89024,0.98371106,0.9154853,1.3535762
0.87856096,1.1632586,0.89619267,1.0312982,0.9797027
0.9788123,0.87495065,1.1298695,0.99753654,1.0723695
1.0217074,0.99158055,0.7658091,1.0213921,1.254972
0.97516257,0.8717161,1.0431505,1.1699069,1.3265523
0.7321987,0.96925443,0.9693553,1.0891373,0.93211037
0.8422066,1.5721925,0.8344358,1.2444192,0.99337924
0.7527822,0.7894002,1.2734334,1.0066233,0.9925083
0.80424714,0.97568136,0.94774884,0.9625797,1.6123958
0.67463,0.8625241,0.77260286,1.0022651,1.0235045
0.99466795,0.92076284,0.98309326,1.4445134,1.0008684
1.0999202,1.1589519,1.07357,1.1406423,1.2559329
0.835925,0.8500987,1.0114294,1.1885729,0.93681633
1.0464302,1.2035497,1.3448111,1.0821686,0.9055088
0.8493878,0.8417318,0.9289068,1.2471784,1.0569701
0.8114309,1.2084563,0.9081674,0.9167705,1.1258614
0.7412237,0.76321226,1.0191329,0.99751043,1.0264568
0.90420127,1.2569262,1.0153111,0.97530204,1.1662425
0.790349,1.0345943,0.9318,0.94312906,1.0295417
0.8621258,0.9119956,1.0146201,1.1777636,1.1886251
0.78691304,1.0032177,1.139754,1.1734575,1.5887908
0.9685705,1.1812813,1.0463504,1.3996388,1.4409833
1.2155693,1.1383874,0.972963,1.0252789,1.1247569
1.2174106,0.93483675,0.90854967,1.1125411,1.3708603
0.8615864,1.0262468,0.888787,1.0472032,1.0063221
1.351381,1.199343,1.2645861,0.9454769,1.028659
0.87883043,0.84104365,0.9904259,0.97197396,0.8363225
1.515685,1.2254932,0.90152466,1.0659635,1.0699402
0.8096453,0.768234,0.9606143,0.89836097,1.136462
0.90454245,0.8512162,0.8712,1.0526233,1.2247449
0.9985413,0.9181543,0.76402336,0.82476884,1.0140429
0.8657657,1.0750701,0.8773939,1.213264,1.4682924
1.0939045,0.8555801,1.1093528,0.8418235,1.0315895
0.66228616,0.8675521,1.1210127,1.3480908,1.4315212
0.98471373,1.3385814,1.0775838,1.1115835,1.2077134
0.9035551,0.84942544,0.947439,0.75296015,0.9342228
0.99211085,0.9777573,1.0939151,0.9400976,1.1625103
0.7520135,0.82184,1.0748911,0.8617443,1.1238811
1.0771898,0.954148,0.9155283,1.0842348,0.9917049
0.92096454,1.4097527,1.0978588,1.0663075,1.1853982
0.72866523,0.8503996,0.90807533,0.9394297,1.2618871
0.831597,1.0108341,0.90175736,0.8501757,1.0366399
0.82299566,1.1339852,1.0655795,1.2482666,1.4325913
0.70335215,1.0356784,1.0858207,0.9944625,1.2059146
0.84096617,0.9109494,0.81583107,0.8109859,1.054556
1.0116727,1.0541842,1.1171104,1.1218048,1.14857
0.82614595,1.0443219,0.88219833,0.7874539,0.7307515
0.8858247,0.85062295,1.148496,1.2299695,1.6538659
0.9786023,0.6070686,0.7616133,1.2543545,1.3718555
0.664902,0.8057112,0.9766257,1.3378502,1.2463925
0.945998,1.1264322,1.2762777,1.1568027,1.0463018
1.0999368,0.86440647,1.1296476,0.84400415,1.0107334
1.3158885,1.4346824,1.1808724,1.1438532,1.1388276
0.8978319,0.86278766,0.83741343,1.1310086,1.0443318
0.96162677,1.2116244,1.1461463,1.308249,1.0753858
0.97497845,0.96238506,0.8884425,1.2754179,1.1539477
1.0534365,1.5518191,1.0991403,1.3629498,1.1624758
0.9962493,1.1491657,1.2669835,0.9830435,1.0380937
0.728134,0.927221,0.8659036,0.9513309,1.0848347
1.3444747,0.9691388,1.0633137,1.068329,1.3507278
1.2797203,1.1916263,1.540537,1.2443926,1.207367
0.87471604,1.1343547,0.9002623,0.8301786,1.0292925
1.0174625,0.84275794,1.1622884,1.1183251,0.84050703
0.6285712,0.72666633,1.1975353,0.9002797,0.8794658
0.84813154,0.99729145,1.2539324,0.98923135,1.2585372
